X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,User_fld,Addr_type,IN_Street,IN_City,IN_ZIP,IN_State,USER_Date,USER_Address,USER_City,USER_State,USER_Fatal,USER_Year
-86.2331672675694,41.6819286137393,435,,M,100,PP,"1200 E Cedar St, South Bend, IN 46617",,,,,,,,2019/09/21 05:00:00+00,"1200 E Cedar St, South Bend, IN 46617",,,No,2019
-86.2331675458696,41.6819289851255,436,,M,100,PP,"1200 E Cedar St, South Bend, IN 46617",,,,,,,,2019/09/21 05:00:00+00,"1200 E Cedar St, South Bend, IN 46617",,,No,2019
-86.2696766142778,41.6947111703766,437,Centerline_SJC,M,96.04,A,"1300 W KING ST, SOUTH BEND, 46628",L,0,StreetAddress,,,,,2019/10/01 05:00:00+00,"1300 W King St, South Bend, IN 46628",,,No,2019
-86.2536076221325,41.6791260037892,438,,M,100,PP,"300 N Lafayette Blvd, South Bend, IN 46637",,,,,,,,2019/10/19 05:00:00+00,"300 N Lafayette Blvd, South Bend, IN 46637",,,Yes,2019
-86.2445202876727,41.6601510477015,439,,M,100,PP,"500 E Broadway St, South Bend, IN 46601",,,,,,,,2019/10/23 05:00:00+00,"500 E Broadway St, South Bend, IN 46601",,,No,2019
-86.2813416384553,41.6907098967064,440,Centerline_SJC,M,96.04,A,"2200 W HUMBOLDT ST, SOUTH BEND, 46628",L,0,StreetAddress,,,,,2019/10/27 05:00:00+00,"2200 W Humboldt St, South Bend, IN 46628",,,No,2019
-86.2813416384553,41.6907098967064,441,Centerline_SJC,M,96.04,A,"2200 W HUMBOLDT ST, SOUTH BEND, 46628",L,0,StreetAddress,,,,,2019/10/27 05:00:00+00,"2200 W Humboldt St, South Bend, IN 46628",,,No,2019
-86.2813416384553,41.6907098967064,442,Centerline_SJC,M,96.04,A,"2200 W HUMBOLDT ST, SOUTH BEND, 46628",L,0,StreetAddress,,,,,2019/10/27 05:00:00+00,"2200 W Humboldt St, South Bend, IN 46628",,,No,2019
-86.2858126487146,41.6701930348908,443,,M,100,PP,"2600 W Huron St, South Bend, IN 46619",,,,,,,,2019/11/10 05:00:00+00,"2600 W Huron St, South Bend, IN 46619",,,No,2019
-86.2775448141282,41.6793540320002,444,,M,100,PP,"1900 W Linden Ave, South Bend, IN 46619",,,,,,,,2019/11/17 05:00:00+00,"1900 W Linden Ave, South Bend, IN 46619",,,No,2019
-86.2835119907822,41.6674586704316,445,Centerline_SJC,M,96.04,A,"2400 W POLAND ST, SOUTH BEND, 46619",L,0,StreetAddress,,,,,2019/11/23 05:00:00+00,"2400 W Poland St, South Bend, IN 46619",,,No,2019
-86.230278122966,41.6590963289265,446,Centerline_SJC,M,86.91,A,"1500 S LEER ST, SOUTH BEND, 46613",L,0,StreetAddress,,,,,2019/12/01 05:00:00+00,"1500 Leer St , South Bend, IN 46613",,,No,2019
-86.277375667643,41.653908044316,447,Centerline_SJC,M,86.91,A,"1900 W CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,,,,,2019/12/03 05:00:00+00,"1900 E Calvert St, South Bend, IN 46613",,,No,2019
-86.2350986902646,41.6294561852471,448,Centerline_SJC,M,96.04,A,"1000 E IRELAND RD, SOUTH BEND, 46614",L,0,StreetAddress,,,,,2019/12/08 05:00:00+00,"1000 E Ireland Rd, South Bend, IN 46614",,,No,2019
-86.2995988221496,41.6718721090874,449,Centerline_SJC,M,96.04,A,"400 S WELLINGTON ST, SOUTH BEND, 46619",L,0,StreetAddress,,,,,2019/12/09 05:00:00+00,"400 S Wellington St, South Bend, IN 46619",,,No,2019
-86.2995988221496,41.6718721090874,450,Centerline_SJC,M,96.04,A,"400 S WELLINGTON ST, SOUTH BEND, 46619",L,0,StreetAddress,,,,,2019/12/09 05:00:00+00,"400 S Wellington St, South Bend, IN 46619",,,No,2019
-86.2775457497117,41.6793540315293,451,,M,100,PP,"1900 Linden Ave, South Bend, IN 46628",,,,,,,,2019/12/22 05:00:00+00,"1900 Linden Ave, South Bend, IN 46628",,,No,2019
-86.2775452788952,41.6793544103911,452,,M,100,PP,"1900 Linden Ave, South Bend, IN 46628",,,,,,,,2019/12/22 05:00:00+00,"1900 Linden Ave, South Bend, IN 46628",,,No,2019
-86.2731702129139,41.6818392719766,453,Centerline_SJC,M,96.04,A,"500 N BIRDSELL ST, SOUTH BEND, 46628",R,0,StreetAddress,,,,,2019/12/24 05:00:00+00,"500 N Birdsell St, South Bend, IN 46628",,,No,2019
-86.2826272487475,41.6937687813283,454,Centerline_SJC,M,96.04,A,"2300 W ELWOOD AV, SOUTH BEND, 46628",L,0,StreetAddress,,,,,2019/12/26 05:00:00+00,"2300 W Elwood Ave, South Bend, IN 46628",,,No,2019
-86.251641845166,41.6584557097595,455,Centerline_SJC,M,96.04,A,"1500 S MAIN ST, SOUTH BEND, 46613",R,0,StreetAddress,,,,,2019/12/28 05:00:00+00,"1500 S Main St, South Bend, IN 46613",,,No,2019
-86.2645756427125,41.6808936224198,456,Centerline_SJC,M,96.04,A,"500 N SHERMAN AV, SOUTH BEND, 46616",R,0,StreetAddress,,,,,2019/12/30 05:00:00+00,"500 N Sherman Ave, South Bend, IN 46616",,,No,2019
